epoch,stage,train_loss,train_acc,val_loss,val_acc,macro_f1,weighted_f1,learning_rate
1,1,4.300080006463187,0.22040816326530613,4.010285031120732,0.20754716981132076,0.21418067226890758,0.21982717615348027,0.001
2,1,3.2748612442795113,0.2897959183673469,3.396193171447178,0.20754716981132076,0.21303291615791614,0.22160260249882893,0.001
3,1,2.8545600385082013,0.2979591836734694,3.0248572871370136,0.32075471698113206,0.3222916666666667,0.3225943396226415,0.001
4,1,2.746058005702739,0.3306122448979592,2.8774391615165853,0.2830188679245283,0.2889309764309764,0.29407280350676573,0.001
5,1,2.4514866415335206,0.3673469387755102,2.8508089443422713,0.2830188679245283,0.28528219063545146,0.29126285732315266,0.001
6,2,2.074805694940139,0.4775510204081633,2.186749665242321,0.41509433962264153,0.4083333333333333,0.41823899371069184,0.0001
7,2,0.7431720181843456,0.7510204081632653,1.9687311941722654,0.49056603773584906,0.48897819997564246,0.4906671446265134,0.0001
8,2,0.364485237473736,0.8489795918367347,1.878736230562318,0.5283018867924528,0.525225702560906,0.5311989085595161,0.0001
9,2,0.29680969398848867,0.8857142857142857,1.7085973046860605,0.6037735849056604,0.5983835005574135,0.6085063418943649,0.0001
10,2,0.22281099813325064,0.9224489795918367,1.8118416363338254,0.6037735849056604,0.5990957512696643,0.6093126634554035,0.0001
11,2,0.20817429034077392,0.9346938775510204,1.74881578391453,0.5283018867924528,0.5209057071960298,0.5236668383351281,0.0001
12,2,0.11331743561491674,0.9551020408163265,1.6675375452581442,0.5849056603773585,0.5799585921325052,0.5876479549982422,0.0001
13,2,0.10095048324794186,0.9714285714285714,1.673300693619926,0.5094339622641509,0.5023004370830457,0.5227027097412659,0.0001
14,2,0.10374099007066415,0.963265306122449,1.6380135113338254,0.5660377358490566,0.5520434227330779,0.5721246295091448,0.0001
15,2,0.050278104309524806,0.9959183673469387,1.7433163804827996,0.5283018867924528,0.5169859514687101,0.5324369261909926,0.0001
