epoch,stage,train_loss,train_acc,val_loss,val_acc,macro_f1,weighted_f1,learning_rate
1,1,2.989679140947303,0.2816326530612245,3.8816615635494016,0.32075471698113206,0.29642223268617796,0.3200340481019994,0.001
2,1,2.4206397786432383,0.3551020408163265,3.634490710384441,0.2830188679245283,0.2629459319879231,0.2788067154580261,0.001
3,1,2.3792776501908595,0.3795918367346939,3.582871565278971,0.2830188679245283,0.2638983664185277,0.278433564305445,0.001
4,1,2.3561348214441415,0.35918367346938773,3.34042785302648,0.2830188679245283,0.25869963369963367,0.2725482065104707,0.001
5,1,1.9029738932239766,0.45714285714285713,3.0773277305207163,0.2830188679245283,0.2634499642459876,0.2793773180143256,0.001
6,2,1.971459466827159,0.5142857142857142,2.394894499823732,0.4528301886792453,0.42386363636363633,0.4468267581475128,0.0001
7,2,0.7483030832543665,0.746938775510204,1.9738035966765206,0.49056603773584906,0.46126275158533225,0.49283414225593164,0.0001
8,2,0.396566493170602,0.8489795918367347,1.8867503472094267,0.5094339622641509,0.4755871212121212,0.5053816466552316,0.0001
9,2,0.26966988347014603,0.8979591836734694,1.9678421279169478,0.6037735849056604,0.5545017482517482,0.5925177024233628,0.0001
10,2,0.16102980826506202,0.9387755102040817,1.848560319194254,0.5471698113207547,0.5119971264367816,0.5443992626328346,0.0001
11,2,0.16396074526163998,0.9346938775510204,1.9582943255608936,0.5660377358490566,0.5262967255867864,0.5580717648152299,0.0001
12,2,0.09351351741625338,0.9714285714285714,2.0032066551019563,0.5283018867924528,0.49708826801020745,0.5316648539072271,0.0001
13,2,0.1188612302043,0.9673469387755103,1.76212728866991,0.49056603773584906,0.46696485045631153,0.49756287177074116,0.0001
14,2,0.08275689162618044,0.9673469387755103,1.71247912577863,0.5094339622641509,0.49166666666666664,0.5125786163522013,0.0001
