epoch,stage,train_loss,train_acc,val_loss,val_acc,macro_f1,weighted_f1,learning_rate
1,1,3.013650845994755,0.2938775510204082,3.3323144462873353,0.2830188679245283,0.2692113073517248,0.28715745486358785,0.001
2,1,2.6931588888168334,0.3224489795918367,2.988654483039424,0.22641509433962265,0.1938061938061938,0.2194032382711628,0.001
3,1,2.379120852995892,0.3795918367346939,2.6798552162242384,0.3018867924528302,0.2807422402159244,0.2975021006798564,0.001
4,1,2.0360453722428304,0.4163265306122449,2.578472857205373,0.2641509433962264,0.21929170549860205,0.24825476094181365,0.001
5,1,2.027771178313664,0.4122448979591837,2.468960078257435,0.32075471698113206,0.29912424740010946,0.31976329894352007,0.001
6,2,1.6757219645441794,0.5142857142857142,1.8863273701577816,0.5094339622641509,0.45513013013013015,0.4932290781347385,0.0001
7,2,0.37339678905448137,0.8653061224489796,1.776969075202942,0.6037735849056604,0.5891140327098582,0.6047683833119372,0.0001
8,2,0.13750815791439036,0.9591836734693877,1.8349627728732127,0.5849056603773585,0.5614942528735632,0.5916287139449143,0.0001
9,2,0.1554187882919701,0.9346938775510204,1.6289836145796865,0.6037735849056604,0.5782241706471243,0.6079785283685535,0.0001
10,2,0.09427688036646162,0.9714285714285714,1.6341364878528524,0.5660377358490566,0.5415167179218741,0.5664229215097797,0.0001
11,2,0.09209179200079977,0.963265306122449,1.6783806333002054,0.5660377358490566,0.5429342788283278,0.5651142779188617,0.0001
12,2,0.03196774593991589,0.9877551020408163,1.6356481403674719,0.5849056603773585,0.5446453400603846,0.5788437812004353,0.0001
13,2,0.03336018718474982,0.9877551020408163,1.6659244883735225,0.5849056603773585,0.5444197256210604,0.5811040918980559,5e-05
14,2,0.05399317764201943,0.9877551020408163,1.6793359518051147,0.5660377358490566,0.5300380051909529,0.5670241568199467,5e-05
