epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_weighted_f1,lr,is_best
1,1.6889577317237854,0.60875,1.657816128730774,0.64,0.6281297134238311,0.6287963800904977,1e-05,True
2,1.307119871377945,0.6625,1.5350961256027222,0.64,0.6296435272045029,0.6296435272045029,1e-05,True
3,1.0452255615592003,0.69375,1.3958209323883057,0.68,0.6705820105820105,0.6708486772486772,1e-05,True
4,0.934638936817646,0.69375,1.427522497177124,0.64,0.6361075106913064,0.6366402520897526,1e-05,False
5,0.7224328829348088,0.75125,1.3392628383636476,0.7,0.6958027371705183,0.6956721249256204,1e-05,True
6,0.6708956311643124,0.78375,1.2220577955245973,0.7,0.695958267799505,0.6959903834157234,1e-05,True
7,0.5878706380724907,0.79125,1.1988337421417237,0.7,0.6970624759337698,0.6967818636888718,1e-05,True
8,0.4915862086415291,0.82625,1.2254792881011962,0.67,0.6664833400240867,0.6660833400240866,1e-05,False
9,0.45781182914972307,0.84625,1.170281629562378,0.72,0.716548261886947,0.7165393887724838,1e-05,True
10,0.3687807198613882,0.8675,1.2200860404968261,0.7,0.6962789946896633,0.6966782848405063,1e-05,False
11,0.3416119477152824,0.88375,1.1560151672363281,0.68,0.67435360991592,0.674518612087001,1e-05,False
12,0.2846580069512129,0.8875,1.094300684928894,0.7,0.6983452071499632,0.6983281858733673,1e-05,False
13,0.27890014059841634,0.9125,1.1514544248580934,0.69,0.6889862327909888,0.6890947017104715,1e-05,False
14,0.224317681863904,0.92375,1.213439359664917,0.67,0.6694990533038093,0.6697452071499632,1e-05,False
