epoch,stage,train_loss,train_acc,val_loss,val_acc,macro_f1,weighted_f1,learning_rate
1,1,2.9445945311565787,0.3020408163265306,3.3055556405265376,0.2830188679245283,0.25391705069124426,0.28745326493348405,0.001
2,1,2.7401678956284816,0.3306122448979592,3.111679603468697,0.2830188679245283,0.2817166227492315,0.28957437376223266,0.001
3,1,2.2924890158127766,0.3510204081632653,3.0244525333620467,0.2830188679245283,0.27072072072072073,0.28886622471528134,0.001
4,1,2.239363567196593,0.42448979591836733,2.7578535664756343,0.3018867924528302,0.2879180602006689,0.3056256704739067,0.001
5,1,1.884451384447059,0.43673469387755104,2.6711482461893334,0.2830188679245283,0.2672603479055092,0.2836909598930293,0.001
6,2,1.9024257737763075,0.4775510204081633,1.9138660565862116,0.41509433962264153,0.3789476495726496,0.4086780358006773,0.0001
7,2,0.8222970709508779,0.7306122448979592,1.7359760932202608,0.5849056603773585,0.5867724867724868,0.5718179095537586,0.0001
8,2,0.31917282639413463,0.8734693877551021,1.6331127499634366,0.5471698113207547,0.553327502915209,0.5383581794008656,0.0001
9,2,0.21502949400823942,0.9102040816326531,1.6034970216031343,0.6415094339622641,0.6430934656741109,0.6399800240335847,0.0001
10,2,0.07480425028776636,0.9795918367346939,1.7896036269529811,0.6226415094339622,0.6243279569892474,0.6187360519375128,0.0001
11,2,0.1520744369042163,0.9551020408163265,1.6803204271028627,0.6415094339622641,0.6423878205128205,0.6391811804547654,0.0001
12,2,0.10658269336028975,0.9591836734693877,1.5681300230746,0.6226415094339622,0.6166933760683762,0.6247681825512015,0.0001
13,2,0.1849837464033341,0.9510204081632653,1.4419578268842876,0.660377358490566,0.6594662835749423,0.6631495166588226,0.0001
14,2,0.1314865800647103,0.9551020408163265,1.6687350610517107,0.660377358490566,0.6462440262843488,0.6655592750388856,0.0001
15,2,0.0729142957043891,0.9755102040816327,1.6722147914598573,0.6226415094339622,0.6117511520737328,0.6265107381966786,0.0001
16,2,0.07349528829586141,0.9714285714285714,1.6145622977670633,0.660377358490566,0.643186874304783,0.6620983482695658,0.0001
17,2,0.03757793806037124,0.9959183673469387,1.5320398796279475,0.6415094339622641,0.6276007625272332,0.6483382661240596,5e-05
18,2,0.0654047285339662,0.9836734693877551,1.6058834172644705,0.6037735849056604,0.5832399940262843,0.6107433894637181,5e-05
