epoch,stage,train_loss,train_acc,val_loss,val_acc,macro_f1,weighted_f1,learning_rate
1,1,3.5758797431478695,0.2979591836734694,3.2062500197932406,0.32075471698113206,0.2715924426450742,0.30746314261706514,0.001
2,1,2.909092798038405,0.2938775510204082,2.965769848733578,0.33962264150943394,0.327789046653144,0.3400053580313062,0.001
3,1,2.7365413510069554,0.3551020408163265,2.720109282799487,0.2830188679245283,0.2728506787330317,0.28247246649022456,0.001
4,1,2.366282812429934,0.3673469387755102,2.5925264898336158,0.33962264150943394,0.3292026600850131,0.34866853457308516,0.001
5,1,2.464261069589732,0.3795918367346939,2.58061908326059,0.32075471698113206,0.30192577030812323,0.3153876644997622,0.001
6,2,1.948553558028474,0.46122448979591835,1.940538838224591,0.37735849056603776,0.3391527827011698,0.3636272431159832,0.0001
7,2,0.4264010086351511,0.8326530612244898,1.8508825886924312,0.4716981132075472,0.4446551724137931,0.4769681197137281,0.0001
8,2,0.17138950289512167,0.9346938775510204,1.7611558392362774,0.5094339622641509,0.48164362519201226,0.5075210851230327,0.0001
9,2,0.061925907075709226,0.9755102040816327,1.7040261997366852,0.5094339622641509,0.49362990810359236,0.5171182673665295,0.0001
10,2,0.1043378109834632,0.9591836734693877,1.722683699625843,0.5094339622641509,0.4997252747252747,0.5128965374248393,0.0001
11,2,0.06698447119976793,0.9714285714285714,1.6576847760182507,0.5094339622641509,0.49003090853685083,0.5130439282343694,0.0001
12,2,0.0651975930649407,0.9836734693877551,1.577799509156425,0.5283018867924528,0.5060096153846153,0.528815916787615,0.0001
13,2,0.030500331593259256,0.9918367346938776,1.609106644144598,0.5660377358490566,0.5398446833930705,0.5671197673632244,0.0001
14,2,0.017040991688109176,0.9959183673469387,1.740125278256974,0.5283018867924528,0.48724422129594547,0.518578363731259,0.0001
15,2,0.02822356765367547,0.9877551020408163,1.7778407582696878,0.5094339622641509,0.47003968253968254,0.4991015274034141,0.0001
16,2,0.01941200799631829,0.9918367346938776,1.7658022754597213,0.5283018867924528,0.4852785558667912,0.5182953684618502,5e-05
17,2,0.019675800550434434,0.9959183673469387,1.7072598394357934,0.5283018867924528,0.4917735042735043,0.5273746169972585,5e-05
18,2,0.046788328186589845,0.9795918367346939,1.851996309352371,0.5471698113207547,0.503315649867374,0.5387147201606232,5e-05
